date,admin1,market,category,commodity,unit,price,latitude,longitude,pricetype,year,month,admin1_enc,market_enc,category_enc,commodity_enc,unit_enc
2004-01-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,32.71,6.93,79.85,Retail,2004,1,8,5,0,35,1
2004-02-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,33.62,6.93,79.85,Retail,2004,2,8,5,0,35,1
2004-03-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,32.92,6.93,79.85,Retail,2004,3,8,5,0,35,1
2004-03-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,26.63,6.93,79.85,Retail,2004,3,8,5,0,41,1
2004-04-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,32.98,6.93,79.85,Retail,2004,4,8,5,0,35,1
2004-05-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,26.71,6.93,79.85,Retail,2004,5,8,5,0,41,1
2004-06-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,26.66,6.93,79.85,Retail,2004,6,8,5,0,41,1
2004-07-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,26.63,6.93,79.85,Retail,2004,7,8,5,0,41,1
2004-07-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,34.93,6.93,79.85,Retail,2004,7,8,5,0,35,1
2004-08-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,26.7,6.93,79.85,Retail,2004,8,8,5,0,41,1
2004-09-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,27.49,6.93,79.85,Retail,2004,9,8,5,0,41,1
2004-10-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,28.15,6.93,79.85,Retail,2004,10,8,5,0,41,1
2004-11-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,45.0,9.4,80.4,Retail,2004,11,4,24,0,41,1
2004-11-15,Northern,Mulaitivu,cereals and tubers,Wheat flour,KG,45.0,9.27,80.81,Retail,2004,11,4,31,0,41,1
2004-11-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,33.5,9.27,80.81,Retail,2004,11,4,31,0,35,1
2004-11-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,42.75,8.98,79.9,Retail,2004,11,4,26,0,35,1
2004-11-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,86.0,9.66,80.01,Retail,2004,11,4,19,0,41,1
2004-11-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,38.5,8.98,79.9,Retail,2004,11,4,26,0,41,1
2004-11-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,39.6,8.57,81.23,Retail,2004,11,1,41,0,41,1
2004-11-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,39.0,7.72,81.7,Retail,2004,11,1,4,0,41,1
2004-11-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,48.0,7.28,81.67,Retail,2004,11,1,0,0,41,1
2004-11-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,41.75,7.28,81.67,Retail,2004,11,1,0,0,35,1
2004-11-15,Northern,Jaffna,cereals and tubers,Rice (red nadu),KG,113.75,9.66,80.01,Retail,2004,11,4,19,0,35,1
2004-12-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,34.14,6.93,79.85,Retail,2004,12,8,5,0,41,1
2004-12-15,Northern,Vavuniya,cereals and tubers,Wheat flour,KG,65.0,8.75,80.5,Retail,2004,12,4,42,0,41,1
2004-12-15,Northern,Vavuniya,cereals and tubers,Rice (red nadu),KG,56.0,8.75,80.5,Retail,2004,12,4,42,0,35,1
2004-12-15,Northern,Mulaitivu,cereals and tubers,Wheat flour,KG,70.0,9.27,80.81,Retail,2004,12,4,31,0,41,1
2004-12-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,55.0,8.98,79.9,Retail,2004,12,4,26,0,35,1
2004-12-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,65.0,8.98,79.9,Retail,2004,12,4,26,0,41,1
2004-12-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,71.5,9.66,80.01,Retail,2004,12,4,19,0,41,1
2004-12-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,64.5,8.57,81.23,Retail,2004,12,1,41,0,41,1
2004-12-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,68.0,7.72,81.7,Retail,2004,12,1,4,0,41,1
2004-12-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,75.0,7.28,81.67,Retail,2004,12,1,0,0,41,1
2004-12-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,70.0,9.4,80.4,Retail,2004,12,4,24,0,41,1
2005-01-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,38.39,6.93,79.85,Retail,2005,1,8,5,0,35,1
2005-01-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,35.14,6.93,79.85,Retail,2005,1,8,5,0,41,1
2005-02-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,29.27,6.93,79.85,Retail,2005,2,8,5,0,41,1
2005-03-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,33.99,6.93,79.85,Retail,2005,3,8,5,0,35,1
2005-03-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,32.79,6.93,79.85,Retail,2005,3,8,5,0,41,1
2005-04-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,32.48,6.93,79.85,Retail,2005,4,8,5,0,41,1
2005-05-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,30.68,6.93,79.85,Retail,2005,5,8,5,0,41,1
2005-06-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,28.02,6.93,79.85,Retail,2005,6,8,5,0,41,1
2005-07-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,27.54,6.93,79.85,Retail,2005,7,8,5,0,41,1
2005-08-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,29.48,6.93,79.85,Retail,2005,8,8,5,0,41,1
2005-09-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,30.68,6.93,79.85,Retail,2005,9,8,5,0,35,1
2005-09-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,29.66,6.93,79.85,Retail,2005,9,8,5,0,41,1
2005-11-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,32.39,6.93,79.85,Retail,2005,11,8,5,0,35,1
2005-11-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,30.44,6.93,79.85,Retail,2005,11,8,5,0,41,1
2006-01-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,30.24,6.93,79.85,Retail,2006,1,8,5,0,41,1
2006-02-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,30.98,6.93,79.85,Retail,2006,2,8,5,0,41,1
2006-02-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,33.08,6.93,79.85,Retail,2006,2,8,5,0,35,1
2006-02-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,28.0,8.98,79.9,Retail,2006,2,4,26,0,35,1
2006-02-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,29.0,9.4,80.4,Retail,2006,2,4,24,0,35,1
2006-02-15,Northern,Jaffna,cereals and tubers,Rice (red nadu),KG,32.0,9.66,80.01,Retail,2006,2,4,19,0,35,1
2006-03-15,Western,Colombo City,cereals and tubers,Wheat flour,KG,31.76,6.93,79.85,Retail,2006,3,8,5,0,41,1
2006-03-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,31.0,6.93,79.85,Retail,2006,3,8,5,0,35,1
2006-03-15,Northern,Vavuniya,cereals and tubers,Rice (red nadu),KG,29.5,8.75,80.5,Retail,2006,3,4,42,0,35,1
2006-03-15,Northern,Mannar,cereals and tubers,Wheat flour,KG,32.5,8.98,79.9,Retail,2006,3,4,26,0,41,1
2006-03-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,27.5,8.98,79.9,Retail,2006,3,4,26,0,35,1
2006-03-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,32.0,9.4,80.4,Retail,2006,3,4,24,0,41,1
2006-03-15,Northern,Mulaitivu,cereals and tubers,Wheat flour,KG,36.0,9.27,80.81,Retail,2006,3,4,31,0,41,1
2006-03-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,33.5,9.66,80.01,Retail,2006,3,4,19,0,41,1
2006-03-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,29.4,8.57,81.23,Retail,2006,3,1,41,0,41,1
2006-03-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,30.6,7.72,81.7,Retail,2006,3,1,4,0,41,1
2006-03-15,Eastern,Batticaloa,cereals and tubers,Rice (red nadu),KG,23.5,7.72,81.7,Retail,2006,3,1,4,0,35,1
2006-03-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,30.5,7.28,81.67,Retail,2006,3,1,0,0,41,1
2006-03-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,25.0,7.28,81.67,Retail,2006,3,1,0,0,35,1
2006-03-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,28.5,9.4,80.4,Retail,2006,3,4,24,0,35,1
2006-04-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,30.46,6.93,79.85,Retail,2006,4,8,5,0,35,1
2006-04-15,Northern,Mulaitivu,cereals and tubers,Wheat flour,KG,36.0,9.27,80.81,Retail,2006,4,4,31,0,41,1
2006-04-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,33.0,9.27,80.81,Retail,2006,4,4,31,0,35,1
2006-04-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,33.0,9.4,80.4,Retail,2006,4,4,24,0,41,1
2006-04-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,26.0,9.4,80.4,Retail,2006,4,4,24,0,35,1
2006-04-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,34.25,9.66,80.01,Retail,2006,4,4,19,0,41,1
2006-04-15,Northern,Jaffna,cereals and tubers,Rice (red nadu),KG,28.5,9.66,80.01,Retail,2006,4,4,19,0,35,1
2006-04-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,31.0,7.72,81.7,Retail,2006,4,1,4,0,41,1
2006-04-15,Eastern,Batticaloa,cereals and tubers,Rice (red nadu),KG,36.66,7.72,81.7,Retail,2006,4,1,4,0,35,1
2006-04-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,33.5,7.28,81.67,Retail,2006,4,1,0,0,41,1
2006-04-15,Eastern,Ampara,cereals and tubers,Rice (red nadu),KG,27.5,7.28,81.67,Retail,2006,4,1,0,0,35,1
2006-04-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,31.0,8.57,81.23,Retail,2006,4,1,41,0,41,1
2006-05-15,Northern,Kilinochchi,cereals and tubers,Rice (red nadu),KG,27.5,9.4,80.4,Retail,2006,5,4,24,0,35,1
2006-05-15,Western,Colombo City,cereals and tubers,Rice (red nadu),KG,30.77,6.93,79.85,Retail,2006,5,8,5,0,35,1
2006-05-15,Northern,Mulaitivu,cereals and tubers,Rice (red nadu),KG,28.0,9.27,80.81,Retail,2006,5,4,31,0,35,1
2006-05-15,Northern,Mannar,cereals and tubers,Rice (red nadu),KG,30.0,8.98,79.9,Retail,2006,5,4,26,0,35,1
2006-05-15,Northern,Kilinochchi,cereals and tubers,Wheat flour,KG,34.5,9.4,80.4,Retail,2006,5,4,24,0,41,1
2006-05-15,Northern,Jaffna,cereals and tubers,Wheat flour,KG,34.0,9.66,80.01,Retail,2006,5,4,19,0,41,1
2006-05-15,Northern,Vavuniya,cereals and tubers,Wheat flour,KG,32.5,8.75,80.5,Retail,2006,5,4,42,0,41,1
2006-05-15,Eastern,Trincomalee,cereals and tubers,Wheat flour,KG,29.75,8.57,81.23,Retail,2006,5,1,41,0,41,1
2006-05-15,Eastern,Batticaloa,cereals and tubers,Wheat flour,KG,31.6,7.72,81.7,Retail,2006,5,1,4,0,41,1
2006-05-15,Eastern,Batticaloa,cereals and tubers,Rice (red nadu),KG,36.16,7.72,81.7,Retail,2006,5,1,4,0,35,1
2006-05-15,Eastern,Ampara,cereals and tubers,Wheat flour,KG,16.0,7.28,81.67,Retail,2006,5,1,0,0,41,1
2006-05-15,Northern,Jaffna,cereals and tubers,Rice (red nadu),KG,31.75,9.66,80.01,Retail,2006,5,4,19,0,35,1
